index,x,y
0,-120.0,-840.0
1,360.0,840.0
2,-1080.0,360.0
3,1320.0,-360.0
4,-1160.0,-1000.0
5,-360.0,1000.0
6,360.0,-1640.0
7,1080.0,520.0
