episode,label,n_points,initial_m,final_m,improve_pct
7,滚动重规划,3,2199.53,2199.53,0.0
7,滚动重规划,4,2992.23,2992.23,0.0
7,滚动重规划,3,2257.62,2257.62,0.0
7,滚动重规划,2,2144.24,2144.24,0.0
7,滚动重规划,2,1260.87,1260.87,0.0
8,滚动重规划,8,8144.77,8116.69,0.346
8,滚动重规划,9,8458.26,8173.13,3.489
8,滚动重规划,8,8366.41,7081.86,18.139
8,滚动重规划,7,7193.14,6596.13,9.051
8,滚动重规划,7,6032.41,6032.41,0.0
8,滚动重规划,6,5458.25,5458.25,0.0
8,滚动重规划,8,7332.92,6985.08,4.98
8,滚动重规划,7,6659.27,6311.43,5.511
8,滚动重规划,7,6250.72,5885.06,6.213
8,滚动重规划,6,5781.96,5416.31,6.751
8,滚动重规划,5,4446.33,4446.33,0.0
8,滚动重规划,8,5548.12,5536.17,0.216
8,滚动重规划,7,5584.48,4985.56,12.013
8,滚动重规划,6,4141.34,4141.34,0.0
8,滚动重规划,5,3637.44,3637.44,0.0
8,滚动重规划,4,3392.25,3392.25,0.0
8,滚动重规划,3,2805.07,2805.07,0.0
8,滚动重规划,2,1985.19,1985.19,0.0
8,滚动重规划,2,1615.25,1615.25,0.0
9,滚动重规划,8,8144.77,8116.69,0.346
9,滚动重规划,12,8664.15,8519.86,1.694
9,滚动重规划,11,7989.79,7819.28,2.181
9,滚动重规划,10,7709.12,7537.16,2.281
9,滚动重规划,9,7091.8,6919.85,2.485
9,滚动重规划,8,6381.95,6257.12,1.995
9,滚动重规划,8,5730.49,5605.65,2.227
9,滚动重规划,9,6692.81,5938.41,12.704
9,滚动重规划,8,5370.95,5246.11,2.38
9,滚动重规划,7,4776.23,4651.4,2.684
9,滚动重规划,6,4521.21,4396.37,2.84
9,滚动重规划,6,3465.13,3329.84,4.063
9,滚动重规划,6,3491.32,3491.32,0.0
9,滚动重规划,5,2727.6,2727.6,0.0
9,滚动重规划,4,2506.46,2506.46,0.0
9,滚动重规划,3,2235.63,2235.63,0.0
9,滚动重规划,2,1707.61,1707.61,0.0
9,清除顺序,2,2474.33,2474.33,0.0
10,滚动重规划,8,8144.77,8116.69,0.346
10,滚动重规划,7,6748.48,6748.48,0.0
10,滚动重规划,6,5836.34,5836.34,0.0
10,滚动重规划,10,9420.06,7626.73,23.514
10,滚动重规划,9,7346.66,6984.96,5.178
10,滚动重规划,8,7106.68,6744.98,5.363
10,滚动重规划,7,5765.4,5403.7,6.694
10,滚动重规划,6,4834.17,4834.17,0.0
10,滚动重规划,6,4240.5,3936.97,7.71
10,滚动重规划,5,3489.47,3319.07,5.134
10,滚动重规划,4,3231.03,3231.03,0.0
10,滚动重规划,3,3082.22,3082.22,0.0
10,滚动重规划,2,1985.19,1985.19,0.0
10,滚动重规划,3,1849.45,1849.45,0.0
10,滚动重规划,2,1385.81,1385.81,0.0
10,清除顺序,6,6736.98,6727.97,0.134
11,滚动重规划,8,8144.77,8116.69,0.346
11,滚动重规划,11,8690.91,8512.83,2.092
11,滚动重规划,11,7967.24,7753.98,2.75
11,滚动重规划,10,7590.67,7377.41,2.891
11,滚动重规划,12,7487.36,7487.36,0.0
11,滚动重规划,11,7197.08,7197.08,0.0
11,滚动重规划,10,6929.84,6929.84,0.0
11,滚动重规划,9,6494.3,6494.3,0.0
11,滚动重规划,8,6063.87,6063.87,0.0
11,滚动重规划,7,5807.87,5807.87,0.0
11,滚动重规划,6,5191.98,5191.98,0.0
11,滚动重规划,8,6674.41,5416.19,23.231
