episode,ga,label,seed,generation,best,mean,std
1,localize,频道1,0,96,0.135637,4.35362,4.33988
1,localize,频道1,0,101,0.135627,4.58019,4.67145
1,localize,频道1,0,106,0.135624,3.67233,4.44889
1,localize,频道1,0,111,0.135618,4.48487,4.28473
1,localize,频道1,0,116,0.135618,2.92104,3.41115
1,localize,频道1,0,121,0.135618,2.72593,3.21097
1,localize,频道1,0,126,0.135618,2.69985,2.64914
1,localize,频道1,0,131,0.135616,3.01514,3.20168
1,localize,频道1,0,136,0.135616,1.92526,1.921
1,localize,频道1,0,141,0.135616,1.83194,1.93077
1,localize,频道1,0,146,0.135616,1.65104,1.77286
1,localize,频道1,0,150,0.135616,1.13396,1.22883
1,localize,频道2,0,0,0,130.225,53.5864
1,localize,频道2,0,1,0,73.1408,41.5356
1,localize,频道3,0,0,0,127.468,61.0442
1,localize,频道3,0,1,0,72.6728,46.8678
1,localize,频道4,0,0,0,128.433,60.3757
1,localize,频道4,0,1,0,73.1157,45.7518
1,localize,频道6,0,0,0,143.801,54.3789
1,localize,频道6,0,1,0,95.5632,48.598
1,localize,频道7,0,0,0.475038,116.731,56.8698
1,localize,频道7,0,1,0.475038,68.3145,42.5923
1,localize,频道7,0,6,0.376224,8.6902,9.17495
1,localize,频道7,0,11,0.370959,6.90454,8.33008
1,localize,频道7,0,16,0.370816,6.80015,7.6029
1,localize,频道7,0,21,0.37081,7.82007,8.56171
1,localize,频道7,0,26,0.37081,6.46962,10.2639
1,localize,频道7,0,31,0.37036,5.13712,6.42941
1,localize,频道7,0,36,0.37036,5.6652,6.44378
1,localize,频道7,0,41,0.37036,6.54204,6.92659
1,localize,频道7,0,46,0.37036,5.6751,7.02057
1,localize,频道7,0,51,0.37036,4.78116,5.41556
1,localize,频道7,0,56,0.37036,5.19883,6.13092
1,localize,频道7,0,61,0.37036,5.8861,6.78259
1,localize,频道7,0,66,0.37036,5.62215,5.18533
1,localize,频道7,0,71,0.37036,5.1973,5.31168
1,localize,频道7,0,76,0.37036,3.70412,4.18762
