episode,channel,x_m,y_m,outcome,theta_deg,stage
1,13,0.0,0.0,no_signal,,sweep
1,13,961.27,-166.95,direction,39.61,sweep
1,13,1602.15,-925.0,direction,91.31,sweep
1,13,1850.0,0.0,direction,131.11,sweep
1,14,0.0,0.0,direction,24.24,sweep
1,14,961.27,-166.95,direction,104.77,sweep
1,14,1850.0,0.0,direction,160.42,sweep
1,15,0.0,0.0,no_signal,,sweep
1,15,961.27,-166.95,no_signal,,sweep
1,15,508.27,-848.27,no_signal,,sweep
1,15,-314.31,-931.09,no_signal,,sweep
1,15,-902.87,-372.0,no_signal,,sweep
1,15,-878.56,438.35,no_signal,,sweep
1,15,-234.57,967.4,no_signal,,sweep
1,15,0.0,1850.0,no_signal,,sweep
1,15,-925.0,1602.15,no_signal,,sweep
1,15,-1602.15,925.0,no_signal,,sweep
1,15,-1850.0,0.0,no_signal,,sweep
1,15,-1602.15,-925.0,no_signal,,sweep
1,15,-925.0,-1602.15,no_signal,,sweep
1,15,-0.0,-1850.0,no_signal,,sweep
1,15,925.0,-1602.15,no_signal,,sweep
1,15,1602.15,-925.0,no_signal,,sweep
1,15,1850.0,0.0,no_signal,,sweep
1,15,1602.15,925.0,no_signal,,sweep
1,15,856.23,898.93,no_signal,,sweep
1,15,925.0,1602.15,no_signal,,sweep
1,16,0.0,0.0,no_signal,,sweep
1,16,961.27,-166.95,direction,130.84,sweep
1,16,-234.57,967.4,no_signal,,sweep
1,16,856.23,898.93,direction,217.86,sweep
1,17,0.0,0.0,no_signal,,sweep
1,17,961.27,-166.95,no_signal,,sweep
1,17,508.27,-848.27,no_signal,,sweep
1,17,-314.31,-931.09,no_signal,,sweep
1,17,-902.87,-372.0,no_signal,,sweep
1,17,-878.56,438.35,no_signal,,sweep
1,17,-234.57,967.4,no_signal,,sweep
1,17,0.0,1850.0,no_signal,,sweep
1,17,-925.0,1602.15,no_signal,,sweep
1,17,-1602.15,925.0,no_signal,,sweep
1,17,-1850.0,0.0,no_signal,,sweep
1,17,-1602.15,-925.0,no_signal,,sweep
1,17,-925.0,-1602.15,no_signal,,sweep
1,17,-0.0,-1850.0,no_signal,,sweep
1,17,925.0,-1602.15,no_signal,,sweep
1,17,1602.15,-925.0,no_signal,,sweep
1,17,1850.0,0.0,no_signal,,sweep
1,17,1602.15,925.0,no_signal,,sweep
1,17,856.23,898.93,no_signal,,sweep
1,17,925.0,1602.15,no_signal,,sweep
1,18,0.0,0.0,no_signal,,sweep
1,18,961.27,-166.95,direction,257.84,sweep
1,18,508.27,-848.27,direction,293.51,sweep
1,18,-314.31,-931.09,direction,340.07,sweep
1,18,-0.0,-1850.0,direction,37.68,sweep
1,19,0.0,0.0,no_signal,,sweep
1,19,961.27,-166.95,no_signal,,sweep
1,19,508.27,-848.27,no_signal,,sweep
1,19,-314.31,-931.09,no_signal,,sweep
1,19,-902.87,-372.0,no_signal,,sweep
1,19,-878.56,438.35,no_signal,,sweep
1,19,-234.57,967.4,no_signal,,sweep
1,19,0.0,1850.0,no_signal,,sweep
1,19,-925.0,1602.15,no_signal,,sweep
1,19,-1602.15,925.0,no_signal,,sweep
1,19,-1850.0,0.0,no_signal,,sweep
1,19,-1602.15,-925.0,no_signal,,sweep
1,19,-925.0,-1602.15,no_signal,,sweep
1,19,-0.0,-1850.0,no_signal,,sweep
1,19,925.0,-1602.15,no_signal,,sweep
1,19,1602.15,-925.0,no_signal,,sweep
1,19,1850.0,0.0,no_signal,,sweep
1,19,1602.15,925.0,no_signal,,sweep
1,19,856.23,898.93,no_signal,,sweep
1,19,925.0,1602.15,no_signal,,sweep
1,20,0.0,0.0,no_signal,,sweep
1,20,961.27,-166.95,no_signal,,sweep
1,20,508.27,-848.27,no_signal,,sweep
1,20,-314.31,-931.09,no_signal,,sweep
1,20,-902.87,-372.0,no_signal,,sweep
1,20,-878.56,438.35,direction,223.85,sweep
1,20,-1602.15,925.0,direction,270.13,sweep
1,20,-1850.0,0.0,direction,315.08,sweep
2,1,0.0,0.0,no_signal,,sweep
2,1,961.27,-166.95,no_signal,,sweep
2,1,508.27,-848.27,no_signal,,sweep
2,1,-314.31,-931.09,no_signal,,sweep
2,1,-902.87,-372.0,no_signal,,sweep
2,1,-878.56,438.35,no_signal,,sweep
2,1,-234.57,967.4,no_signal,,sweep
2,1,0.0,1850.0,no_signal,,sweep
2,1,-925.0,1602.15,no_signal,,sweep
2,1,-1602.15,925.0,no_signal,,sweep
2,1,-1850.0,0.0,no_signal,,sweep
2,1,-1602.15,-925.0,no_signal,,sweep
2,1,-925.0,-1602.15,no_signal,,sweep
2,1,-0.0,-1850.0,no_signal,,sweep
2,1,925.0,-1602.15,no_signal,,sweep
2,1,1602.15,-925.0,no_signal,,sweep
2,1,1850.0,0.0,no_signal,,sweep
2,1,1602.15,925.0,no_signal,,sweep
2,1,856.23,898.93,no_signal,,sweep
